Name,GP,GS,MP,G,S,SOT,A,TKL,YC,RC,FC,FS
C Ronaldo RMD,30,30,2540,31,214,103,9,8,4,1,20,58
L Messi BAR,31,29,2503,28,158,79,11,8,2,0,13,48
D Costa ATL,35,34,2958,27,108,56,3,0,7,0,61,116
A Sánchez BAR,34,27,2382,19,67,39,10,22,3,0,34,56
K Benzema RMD,35,34,2767,17,100,46,8,19,2,0,29,24
Aduriz ATH,31,26,2411,16,82,39,8,0,8,1,59,59
A Griezmann RSO,35,31,2661,16,110,55,3,0,5,0,36,28
C Vela RSO,37,35,3109,16,84,41,12,0,3,0,49,138
Pedro BAR,37,28,2360,15,69,30,8,11,3,0,27,46
G Bale RMD,27,24,2068,15,88,30,12,12,3,0,20,21
J Guerra VID,37,37,3158,15,85,40,1,0,9,0,53,83
K Gameiro SEV,35,20,1884,15,52,30,3,0,2,0,15,16
Nolito CEL,35,24,2260,14,84,40,2,0,7,0,54,41
C Bacca SEV,35,27,2308,14,65,33,5,0,4,0,32,20
O Riera OSA,37,35,3017,13,81,37,0,0,5,0,57,72
I Uche VIL,30,19,1741,13,45,19,2,0,5,1,25,60
D Villa ATL,36,32,2417,13,69,38,4,0,3,0,28,30
Charles CEL,30,29,2344,12,70,35,3,0,6,1,53,63
S García ESP,37,37,3257,12,75,34,9,0,8,0,48,66
J Larrivey RAY,35,24,2409,12,71,27,4,0,4,0,39,37
Y El Arabi GRA,36,34,2793,12,93,38,2,0,4,0,74,79
I Rakitic SEV,34,29,2704,12,80,29,10,0,7,0,31,66
Bueno RAY,37,31,2499,11,62,26,4,0,3,0,17,63
G Dos Santos VIL,31,26,2211,11,60,33,8,0,2,0,21,49
Jonas VAL,31,23,2095,10,81,35,1,0,4,0,29,32
J Perbet VIL,26,13,1254,10,41,23,2,0,3,0,34,32
R Castro BET,25,22,2015,10,74,35,1,0,3,0,6,26
Neymar BAR,26,19,1735,9,70,34,8,18,6,0,29,81
J Molina BET,32,25,2348,9,62,31,1,0,4,0,18,50
R García ATL,34,18,1703,9,59,24,3,0,10,0,47,44
Rodri ALM,27,21,1892,8,35,22,2,0,7,0,62,51
Verza ALM,34,34,2932,8,36,16,3,0,11,0,48,31
Ibai ATH,18,6,684,8,44,19,2,0,0,0,6,10
C Fàbregas BAR,36,28,2472,8,53,24,14,24,4,0,42,39
Isco RMD,32,23,1995,8,45,17,6,15,1,0,22,44
Á Morata RMD,23,3,562,8,38,23,0,6,2,0,13,12
Agirretxe RSO,31,21,1958,8,65,24,1,0,1,0,21,31
I Muniain ATH,35,32,2720,7,55,25,4,0,6,0,31,86
Lafita GET,29,22,1913,7,39,19,1,0,7,1,53,51
Pedro León GET,37,33,2919,7,75,30,5,0,6,0,29,43
D Barral LEV,32,25,2249,7,65,24,0,0,13,1,95,65
A Vidal ALM,38,36,3126,6,59,22,3,0,3,0,28,75
R Boakye ELC,31,12,1200,6,33,12,1,0,2,0,20,26
Susaeta ATH,38,34,2971,6,47,23,12,0,1,0,22,47
C Stuani ESP,34,28,2573,6,53,23,3,0,9,1,68,63
R Santa Cruz MAG,31,24,2138,6,51,21,2,0,1,0,25,30
P Alcácer VAL,23,17,1535,6,44,17,2,0,6,0,16,8
Bruno VIL,36,35,2985,6,34,13,2,0,6,0,33,35
Koke ATL,36,33,2808,6,35,14,14,0,6,0,36,29
C Marica GET,27,20,1793,6,46,20,1,0,7,1,24,48