,GP,GS,MP,GA,SOT,PK,PKSV,FC,FS,W,D,L,CS,SV
D Marshall CC,37,37,3330,73,216,2,0,0,2,7,8,22,7,143
V Mannone SUN,29,28,2567,38,165,0,0,0,1,9,7,13,11,130
J Ruddy NC,38,38,3420,62,183,4,0,0,8,8,9,21,12,124
J Speroni CP,37,37,3330,46,164,6,0,0,5,13,5,19,12,119
B Guzan AST,38,38,3420,61,166,6,0,1,7,10,8,20,9,109
T Howard EVE,37,37,3263,37,141,5,0,2,3,20,9,7,15,108
W Szczesny ARS,37,37,3330,41,146,6,0,2,5,23,7,7,16,107
S Mignolet LIV,38,38,3420,50,148,4,0,0,5,26,6,6,10,104
H Lloris TOT,37,37,3330,50,148,5,0,2,3,21,6,10,14,101
A Begovic STO,32,32,2880,36,136,2,0,0,6,12,10,10,9,100
D De Gea MAN,37,37,3330,43,139,4,0,0,3,18,7,12,12,97
T Krul NCU,36,36,3240,51,145,5,0,1,2,15,4,17,10,95
Adrián WHU,20,20,1800,27,112,3,0,1,5,8,1,11,6,85
M Stekelenburg FUL,19,19,1682,43,120,0,0,0,1,3,2,14,1,80
P Cech CHE,34,34,3060,24,103,0,0,0,3,23,6,5,16,79
D Stockdale FUL,21,19,1738,42,112,4,0,0,1,6,3,10,3,70
B Foster WBA,24,24,2148,38,106,5,0,1,1,4,10,10,3,70
J Hart MCY,31,31,2790,30,99,1,0,0,5,22,4,5,13,69
A McGregor HUL,26,26,2227,31,100,1,0,2,5,7,5,13,7,69
M Vorm SWA,26,26,2339,32,97,3,0,1,5,9,6,11,7,65
A Boruc SHN,29,29,2578,26,89,2,0,0,2,14,9,6,14,62
J Jaaskelainen WHU,18,18,1620,24,81,3,0,2,1,3,6,9,8,58
B Myhill WBA,14,14,1260,21,62,2,0,0,2,3,5,6,3,41
G Tremmel SWA,12,12,1080,22,53,1,0,0,2,2,3,7,1,32
S Harper HUL,13,11,1100,19,49,3,0,1,2,3,2,7,3,31
K Westwood SUN,10,10,853,22,44,2,0,0,0,1,1,7,0,25
C Pantilimon MCY,7,7,630,7,22,0,0,0,0,5,1,1,3,16
M Schwarzer CHE,4,4,360,3,18,1,0,0,0,2,1,1,2,15
P Gazzaniga SHN,8,7,662,15,27,1,0,0,1,1,2,4,1,13
J Butland STO,3,2,225,7,18,2,0,0,0,0,0,2,0,12
T Sorensen STO,4,4,315,9,19,3,0,0,0,1,1,2,0,10
R Elliot NCU,2,2,180,8,15,0,0,0,0,0,0,2,0,7
L Fabianski ARS,1,1,90,0,5,0,0,0,0,1,0,0,1,5
Joel EVE,2,1,156,2,7,1,0,0,0,1,0,1,0,5
A Lindegaard MAN,1,1,90,0,4,0,0,0,0,1,0,0,1,4
E Jakupovic HUL,1,1,90,3,7,0,0,0,0,0,0,1,0,4
J Lewis CC,1,1,90,1,4,0,0,0,0,0,1,0,0,3
K Davis SHN,2,2,180,5,9,0,0,0,0,0,0,2,0,3
B Friedel TOT,1,1,90,1,4,0,0,0,0,0,0,1,0,3
W Hennessey CP,1,1,90,2,5,0,0,0,0,0,1,0,0,3
Á Rangel SWA,1,1,1,0,1,0,0,40,21,0,0,0,0,1
L Daniels WBA,1,0,12,0,1,0,0,0,0,0,0,0,0,1
C Bellamy CC,0,0,0,0,0,0,0,8,13,0,0,0,0,0
J Berget CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cala CC,0,0,0,0,0,0,0,8,4,0,0,0,0,0
F Campbell CC,0,0,0,0,0,0,0,41,60,0,0,0,0,0
S Caulker CC,0,0,0,0,0,0,0,8,7,0,0,0,0,0
M Connolly CC,0,0,0,0,0,0,0,5,1,0,0,0,0,0
D Cowie CC,0,0,0,0,0,0,0,8,5,0,0,0,0,0
M Daehli CC,0,0,0,0,0,0,0,1,6,0,0,0,0,0